Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry,Jan._lottr,Feb._lottr,Mar._lottr,Q1_lottr,Jan._tttr,Feb._tttr,Mar._tttr,Q1_tttr,Jan._ed,Feb._ed,Mar._ed,start,end,met_region,elevation,color_lottr,MidLat,MidLong,path
121+06104,P1,I-40,I-40,1,Campbell St/Exit 83,112,UNITED STATES,TENNESSEE,MADISON,38305,E,35.67123,-88.82619,35.67335,-88.81366,0.718271878943769,1,N,1,42265,2,,4.0,40.0,2.0,1.0,40,55640,11128,2782,1,100,1,100,1,"LINESTRING (-88.82619 35.67123, -88.82595000000001 35.67127, -88.82545 35.67134, -88.82529 35.67137, -88.82317 35.67173, -88.81956 35.67234, -88.81366 35.67335)",,,,,,,,,0.0,0.0,0.0,"-88.82619,35.67123","-88.81366,35.67335",4,0.0,"(100.0, 100.0, 100.0)",35.672290000000004,-88.819925,"((-88.82619, 35.67123), (-88.82595, 35.67127), (-88.82545, 35.67134), (-88.82529, 35.67137), (-88.82317, 35.67173), (-88.81956, 35.67234), (-88.81366, 35.67335))"
113-04442,P1,I-240,I-240,1,I-55/Exit 25,78,UNITED STATES,TENNESSEE,SHELBY,38106,S,35.07705,-90.02641,35.07694,-90.02647,0.008321529290409,2,N,1,56116,2,1.0,6.0,240.0,2.0,1.0,240,101160,4046,3034,1,100,1,100,1,"LINESTRING (-90.02641 35.07705, -90.02647 35.07694)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"-90.02641,35.07705","-90.02647,35.07694",4,1.0,"(12.847665, 7.599765, 134.633625)",35.076995,-90.02644000000001,"((-90.02641, 35.07705), (-90.02647, 35.07694))"
113-04252,P1,TN-385,TN-385,1,Raleigh-Millington Rd,84,UNITED STATES,TENNESSEE,SHELBY,38053,E,35.33057,-89.91636,35.33022,-89.9034,0.730896022789669,2,N,2,56116,2,,4.0,385.0,4.0,1.0,385,10320,1032,412,1,100,2,100,0,"LINESTRING (-89.91636 35.33057, -89.91596 35.33056, -89.91502 35.33052, -89.91316 35.33043, -89.91184 35.33037, -89.91045 35.33035, -89.90947 35.33034, -89.90627000000001 35.33028, -89.90379 35.33023, -89.9034 35.33022)",1.1333333333333333,1.2489361702127664,1.1613636363636362,1.1555555555555554,1.565217391304348,1.7414893617021252,3.054545454545459,1.7670212765957438,72.43,68.32,208.62,"-89.91636,35.33057","-89.9034,35.33022",4,1.16,"(151.727805, 19.683449999999997, 160.118835)",35.330394999999996,-89.90988,"((-89.91636, 35.33057), (-89.91596, 35.33056), (-89.91502, 35.33052), (-89.91316, 35.33043), (-89.91184, 35.33037), (-89.91045, 35.33035), (-89.90947, 35.33034), (-89.90627, 35.33028), (-89.90379, 35.33023), (-89.9034, 35.33022))"
121+04474,P1,I-65,I-65,1,TN-96/Murfreesboro Rd/Exit 65,87,UNITED STATES,TENNESSEE,WILLIAMSON,37064,N,35.86738,-86.83118,35.91052,-86.82462,3.013665822505777,1,N,1,61273,2,,8.0,65.0,2.0,1.0,65,102140,10214,1021,1,100,1,100,1,"LINESTRING (-86.83118 35.86738, -86.83104 35.86937, -86.83096999999999 35.87071, -86.83091 35.87176, -86.83081 35.87354, -86.83076 35.87444, -86.83072 35.8751, -86.83062 35.87663, -86.83053 35.87823, -86.83041 35.88018, -86.83027 35.88248, -86.83019 35.88379, -86.83011999999999 35.88488, -86.83006 35.88571, -86.82997 35.88648, -86.82977 35.88789, -86.82941 35.89063, -86.82929 35.89148, -86.82922000000001 35.89198, -86.82919 35.89224, -86.82915 35.89251, -86.82893 35.89415, -86.82884 35.89476, -86.82875 35.89526, -86.82866 35.89575, -86.82857 35.89622, -86.82848 35.89661, -86.82835 35.89711, -86.82821 35.89764, -86.82809 35.89805, -86.82791 35.89866, -86.82765000000001 35.8994, -86.82737 35.90015, -86.82709 35.90085, -86.82678 35.9016, -86.8262 35.90311, -86.82603 35.90358, -86.82586000000001 35.9041, -86.82563 35.90485, -86.82535 35.90599, -86.82528000000001 35.9063, -86.82519000000001 35.90672, -86.82512 35.90703, -86.82499 35.90778, -86.82483999999999 35.9088, -86.82474999999999 35.90941, -86.82473 35.90956, -86.82468 35.90994, -86.82467 35.91005, -86.82462 35.91052)",1.026143790849673,1.0516129032258064,1.0326797385620916,1.0324675324675323,1.089171974522293,1.4245283018867925,1.0961538461538465,1.1993630573248404,14.85,68.25,1410.37,"-86.83118,35.86738","-86.82462,35.91052",3,1.03,"(49.31037, 4.680269999999999, 150.53415)",35.888949999999994,-86.8279,"((-86.83118, 35.86738), (-86.83104, 35.86937), (-86.83097, 35.87071), (-86.83091, 35.87176), (-86.83081, 35.87354), (-86.83076, 35.87444), (-86.83072, 35.8751), (-86.83062, 35.87663), (-86.83053, 35.87823), (-86.83041, 35.88018), (-86.83027, 35.88248), (-86.83019, 35.88379), (-86.83012, 35.88488), (-86.83006, 35.88571), (-86.82997, 35.88648), (-86.82977, 35.88789), (-86.82941, 35.89063), (-86.82929, 35.89148), (-86.82922, 35.89198), (-86.82919, 35.89224), (-86.82915, 35.89251), (-86.82893, 35.89415), (-86.82884, 35.89476), (-86.82875, 35.89526), (-86.82866, 35.89575), (-86.82857, 35.89622), (-86.82848, 35.89661), (-86.82835, 35.89711), (-86.82821, 35.89764), (-86.82809, 35.89805), (-86.82791, 35.89866), (-86.82765, 35.8994), (-86.82737, 35.90015), (-86.82709, 35.90085), (-86.82678, 35.9016), (-86.8262, 35.90311), (-86.82603, 35.90358), (-86.82586, 35.9041), (-86.82563, 35.90485), (-86.82535, 35.90599), (-86.82528, 35.9063), (-86.82519, 35.90672), (-86.82512, 35.90703), (-86.82499, 35.90778), (-86.82484, 35.9088), (-86.82475, 35.90941), (-86.82473, 35.90956), (-86.82468, 35.90994), (-86.82467, 35.91005), (-86.82462, 35.91052))"
121+04516,P1,I-40,I-40,1,US-70/Exit 239,121,UNITED STATES,TENNESSEE,WILSON,37087,E,36.18223,-86.29608,36.18775,-86.27064,1.469568600009803,1,N,1,61273,2,,4.0,40.0,2.0,1.0,40,52890,12164,1057,1,100,1,100,1,"LINESTRING (-86.29608 36.18223, -86.29550999999999 36.18228, -86.29524000000001 36.18231, -86.29464 36.18239, -86.29442 36.18243, -86.29371 36.18256, -86.29258 36.1828, -86.29016 36.18334, -86.28954 36.18349, -86.28699 36.18407, -86.28421 36.18469, -86.27643 36.18645, -86.27542 36.18668, -86.27448 36.18689, -86.27164 36.18753, -86.27064 36.18775)",1.0256410256410255,1.051282051282051,1.0389610389610389,1.0256410256410255,1.0632911392405062,1.3333333333333333,1.181818181818182,1.1139240506329111,0.0,10.2,0.0,"-86.29608,36.18223","-86.27064,36.18775",3,1.04,"(54.65925, 4.3281149999999995, 152.80594499999998)",36.18499,-86.28336,"((-86.29608, 36.18223), (-86.29551, 36.18228), (-86.29524, 36.18231), (-86.29464, 36.18239), (-86.29442, 36.18243), (-86.29371, 36.18256), (-86.29258, 36.1828), (-86.29016, 36.18334), (-86.28954, 36.18349), (-86.28699, 36.18407), (-86.28421, 36.18469), (-86.27643, 36.18645), (-86.27542, 36.18668), (-86.27448, 36.18689), (-86.27164, 36.18753), (-86.27064, 36.18775))"
121-08630,P1,US-41,MURFREESBORO RD,1,TN-155/Briley Pky,531,UNITED STATES,TENNESSEE,DAVIDSON,37217,E,36.12667,-86.71115,36.11929,-86.7016,0.738061939282028,4,N,3,61273,2,,4.0,41.0,3.0,1.0,41,23469,3047,702,1,100,0,0,0,"LINESTRING (-86.71115 36.12667, -86.7107 36.12632, -86.70981999999999 36.12563, -86.7086 36.12468, -86.7077 36.124, -86.70751 36.12386, -86.70735999999999 36.12374, -86.70692 36.1234, -86.70672 36.12324, -86.70632999999999 36.12293, -86.70618 36.12281, -86.70581 36.12252, -86.70520999999999 36.12205, -86.70484 36.12176, -86.70442 36.12143, -86.70405 36.12115, -86.70398 36.12109, -86.70377000000001 36.12093, -86.70375 36.12092, -86.70354 36.12083, -86.70309 36.12048, -86.70278 36.12023, -86.70247000000001 36.11999, -86.70192 36.11955, -86.7016 36.11929)",1.2857142857142858,1.303370786516854,1.2790697674418603,1.2613636363636365,2.061842105263157,1.888157894736842,1.917808219178082,1.9342105263157892,737.32,535.93,813.87,"-86.71115,36.12667","-86.7016,36.11929",3,1.28,"(215.93094, 87.350505, 107.24764499999999)",36.12298,-86.70637500000001,"((-86.71115, 36.12667), (-86.7107, 36.12632), (-86.70982, 36.12563), (-86.7086, 36.12468), (-86.7077, 36.124), (-86.70751, 36.12386), (-86.70736, 36.12374), (-86.70692, 36.1234), (-86.70672, 36.12324), (-86.70633, 36.12293), (-86.70618, 36.12281), (-86.70581, 36.12252), (-86.70521, 36.12205), (-86.70484, 36.12176), (-86.70442, 36.12143), (-86.70405, 36.12115), (-86.70398, 36.12109), (-86.70377, 36.12093), (-86.70375, 36.12092), (-86.70354, 36.12083), (-86.70309, 36.12048), (-86.70278, 36.12023), (-86.70247, 36.11999), (-86.70192, 36.11955), (-86.7016, 36.11929))"
121+04487,P1,I-40,I-40,1,US-412/Exit 79,112,UNITED STATES,TENNESSEE,MADISON,38301,E,35.64184,-88.91859,35.65706,-88.8736,2.739210811595018,1,N,1,42265,2,,4.0,40.0,2.0,1.0,40,42341,12218,2102,1,100,1,100,1,"LINESTRING (-88.91858999999999 35.64184, -88.91797 35.64204, -88.91668 35.64242, -88.91665 35.64243, -88.91623 35.64255, -88.91517 35.64286, -88.91475 35.64298, -88.91381 35.64325, -88.91103 35.64405, -88.90658000000001 35.64534, -88.90568 35.6456, -88.90092 35.64698, -88.89756 35.64795, -88.89662 35.64823, -88.89569 35.64852, -88.89476999999999 35.64884, -88.89386 35.64917, -88.89269 35.64962, -88.89093 35.65031, -88.88988000000001 35.65072, -88.88682 35.65191, -88.88352999999999 35.65319, -88.88021000000001 35.65448, -88.87904 35.65494, -88.87875 35.65505, -88.87803 35.65533, -88.87742 35.65556, -88.87690000000001 35.65576, -88.87678 35.65581, -88.87648 35.65593, -88.87600999999999 35.65611, -88.87526 35.6564, -88.87503 35.65649, -88.87479999999999 35.65657, -88.87435000000001 35.65673, -88.8736 35.65706)",1.0201342281879195,1.1580645161290322,1.027027027027027,1.0268456375838926,1.0596026490066226,3.6907894736842106,1.1231788079470193,1.4331125827814546,0.0,5196.24,74.85,"-88.91859,35.64184","-88.8736,35.65706",4,1.03,"(43.75137, 5.02503, 148.10553000000002)",35.64945,-88.896095,"((-88.91859, 35.64184), (-88.91797, 35.64204), (-88.91668, 35.64242), (-88.91665, 35.64243), (-88.91623, 35.64255), (-88.91517, 35.64286), (-88.91475, 35.64298), (-88.91381, 35.64325), (-88.91103, 35.64405), (-88.90658, 35.64534), (-88.90568, 35.6456), (-88.90092, 35.64698), (-88.89756, 35.64795), (-88.89662, 35.64823), (-88.89569, 35.64852), (-88.89477, 35.64884), (-88.89386, 35.64917), (-88.89269, 35.64962), (-88.89093, 35.65031), (-88.88988, 35.65072), (-88.88682, 35.65191), (-88.88353, 35.65319), (-88.88021, 35.65448), (-88.87904, 35.65494), (-88.87875, 35.65505), (-88.87803, 35.65533), (-88.87742, 35.65556), (-88.8769, 35.65576), (-88.87678, 35.65581), (-88.87648, 35.65593), (-88.87601, 35.65611), (-88.87526, 35.6564), (-88.87503, 35.65649), (-88.8748, 35.65657), (-88.87435, 35.65673), (-88.8736, 35.65706))"
121+04514,P1,I-40,I-40,1,TN-840/Exit 235,121,UNITED STATES,TENNESSEE,WILSON,37090,E,36.18487,-86.40129,36.18385,-86.3625,2.163931727883577,1,N,1,61273,2,,4.0,40.0,2.0,1.0,40,59520,10118,1785,1,100,1,100,1,"LINESTRING (-86.40129 36.18487, -86.39807 36.1848, -86.39551 36.18474, -86.39481000000001 36.18472, -86.39076 36.18461, -86.38891 36.18456, -86.38706999999999 36.18451, -86.38666000000001 36.1845, -86.38316 36.18441, -86.37949 36.18431, -86.37479999999999 36.18418, -86.36521999999999 36.18393, -86.36372 36.18389, -86.3625 36.18385)",1.0508474576271187,1.0737704918032789,1.0598290598290598,1.0508474576271187,1.140495867768595,1.5819672131147542,1.1367521367521367,1.2785123966942131,1877.81,1655.42,605.39,"-86.40129,36.18487","-86.3625,36.18385",3,1.06,"(73.20438, 2.768025, 159.960225)",36.18436,-86.381895,"((-86.40129, 36.18487), (-86.39807, 36.1848), (-86.39551, 36.18474), (-86.39481, 36.18472), (-86.39076, 36.18461), (-86.38891, 36.18456), (-86.38707, 36.18451), (-86.38666, 36.1845), (-86.38316, 36.18441), (-86.37949, 36.18431), (-86.3748, 36.18418), (-86.36522, 36.18393), (-86.36372, 36.18389), (-86.3625, 36.18385))"
113+09787,P1,I-40,I-40,1,TN-222/Stanton Rd/Exit 42,76,UNITED STATES,TENNESSEE,FAYETTE,38049,E,35.34983,-89.51612,35.39038,-89.41468,6.383044520401695,1,N,1,99999,2,,4.0,40.0,2.0,1.0,40,35530,13146,2131,1,100,1,100,1,"LINESTRING (-89.51612 35.34983, -89.51557 35.35009, -89.51483 35.35043, -89.51231 35.35159, -89.51079 35.35229, -89.50543 35.35476, -89.49929 35.35759, -89.48672000000001 35.36338, -89.47539 35.3686, -89.47212 35.37011, -89.47092000000001 35.37066, -89.47 35.37105, -89.46908999999999 35.37142, -89.46847 35.37167, -89.46831 35.37173, -89.46756999999999 35.37201, -89.46722 35.37214, -89.4663 35.37248, -89.46541000000001 35.37278, -89.46429000000001 35.37314, -89.46262 35.37366, -89.46066 35.37426, -89.45922 35.3747, -89.45748 35.37523, -89.45574000000001 35.37576, -89.45458000000001 35.37612, -89.45289 35.37664, -89.45067 35.37732, -89.44848 35.37799, -89.44596 35.37877, -89.44455000000001 35.3792, -89.44283 35.37972, -89.44112 35.38025, -89.43974 35.38067, -89.43959 35.38072, -89.4384 35.38108, -89.43407999999999 35.3824, -89.42937000000001 35.38384, -89.42824 35.38419, -89.42712 35.38456, -89.42549 35.38515, -89.42389 35.38576, -89.42282 35.3862, -89.42149000000001 35.38679, -89.41992 35.38752, -89.41905 35.38796, -89.41815 35.38842, -89.41713 35.38897, -89.41645 35.38934, -89.41582 35.38971, -89.41575 35.38975, -89.41502 35.39018, -89.41468 35.39038)",1.0243161094224924,1.0388059701492538,1.0305810397553516,1.0303030303030305,1.0486322188449848,1.3505917159763314,1.0642201834862386,1.089221556886227,0.0,268.4,0.0,"-89.51612,35.34983","-89.41468,35.39038",4,1.03,"(47.484314999999995, 4.794765, 149.74313999999998)",35.370104999999995,-89.4654,"((-89.51612, 35.34983), (-89.51557, 35.35009), (-89.51483, 35.35043), (-89.51231, 35.35159), (-89.51079, 35.35229), (-89.50543, 35.35476), (-89.49929, 35.35759), (-89.48672, 35.36338), (-89.47539, 35.3686), (-89.47212, 35.37011), (-89.47092, 35.37066), (-89.47, 35.37105), (-89.46909, 35.37142), (-89.46847, 35.37167), (-89.46831, 35.37173), (-89.46757, 35.37201), (-89.46722, 35.37214), (-89.4663, 35.37248), (-89.46541, 35.37278), (-89.46429, 35.37314), (-89.46262, 35.37366), (-89.46066, 35.37426), (-89.45922, 35.3747), (-89.45748, 35.37523), (-89.45574, 35.37576), (-89.45458, 35.37612), (-89.45289, 35.37664), (-89.45067, 35.37732), (-89.44848, 35.37799), (-89.44596, 35.37877), (-89.44455, 35.3792), (-89.44283, 35.37972), (-89.44112, 35.38025), (-89.43974, 35.38067), (-89.43959, 35.38072), (-89.4384, 35.38108), (-89.43408, 35.3824), (-89.42937, 35.38384), (-89.42824, 35.38419), (-89.42712, 35.38456), (-89.42549, 35.38515), (-89.42389, 35.38576), (-89.42282, 35.3862), (-89.42149, 35.38679), (-89.41992, 35.38752), (-89.41905, 35.38796), (-89.41815, 35.38842), (-89.41713, 35.38897), (-89.41645, 35.38934), (-89.41582, 35.38971), (-89.41575, 35.38975), (-89.41502, 35.39018), (-89.41468, 35.39038))"
113N04203,P3,I-40,I-40,1,Fayette/Shelby County Line,76,UNITED STATES,TENNESSEE,SHELBY,38002,W,35.27786,-89.63536,35.27449,-89.64184,0.433305025934285,1,N,1,99998,2,,4.0,40.0,2.0,1.0,40,39670,13091,1983,1,100,1,100,1,"LINESTRING (-89.63536000000001 35.27786, -89.63692 35.27703, -89.63892 35.27599, -89.64062 35.27511, -89.64184 35.27449)",1.0434782608695652,1.0416666666666667,1.0434782608695652,1.0434782608695652,1.0869565217391304,1.25,1.0869565217391304,1.0869565217391304,0.0,6.63,0.0,"-89.63536,35.27786","-89.64184,35.27449",4,1.04,"(59.852325, 3.95301, 154.93596)",35.276174999999995,-89.6386,"((-89.63536, 35.27786), (-89.63692, 35.27703), (-89.63892, 35.27599), (-89.64062, 35.27511), (-89.64184, 35.27449))"
